

/Gem Systems GSM-19GW 8082867 v7.0 7 VII 2008 M ew5fl.v7vbs                        
/ID 1 file 07      .g   20 VII09
/00100 sensor distance cm 
/X Y nT nT/m sq cor-nT time 
 0  0  55558.54 -0037.31 99  000000.00 185706.0 
 0  1  55564.22 -0018.79 99  000000.00 185730.0 
 0  2  55571.45  0000.05 99  000000.00 185742.0 
 0  3  55564.69 -0019.54 99  000000.00 185754.0 
 0  4  55570.36 -0001.80 99  000000.00 185806.0 
 0  5  55565.92 -0018.42 99  000000.00 185822.0 
 0  6  55572.92  0002.78 99  000000.00 185834.0 
 0  7  55576.39  0007.30 99  000000.00 185846.0 
 0  8  55576.37  0002.21 99  000000.00 185858.0 
 0  9  55574.01 -0002.81 99  000000.00 185914.0 
 0  10  55574.17 -0002.15 99  000000.00 185926.0 
 0  11  55577.14  0006.50 99  000000.00 185938.0 
 0  12  55577.13  0009.81 99  000000.00 185950.0 
 0  13  55571.32  0006.18 99  000000.00 190002.0 
 0  14  55570.27  0001.11 99  000000.00 190014.0 
 1  14  55575.71 -0004.22 99  000000.00 190050.0 
 1  13  55571.41 -0010.65 99  000000.00 190102.0 
 1  12  55563.02 -0031.00 99  000000.00 190118.0 
 1  11  55568.76 -0015.59 99  000000.00 190138.0 
 1  10  55567.28 -0012.36 99  000000.00 190154.0 
 1  9  55570.02 -0004.91 99  000000.00 190206.0 
 1  8  55572.31 -0003.47 99  000000.00 190218.0 
 1  7  55559.97 -0014.94 99  000000.00 190230.0 
 1  6  55570.16 -0001.88 99  000000.00 190246.0 
 1  5  55561.86 -0014.85 99  000000.00 190258.0 
 1  4  55566.67 -0004.04 99  000000.00 190310.0 
 1  3  55560.15 -0009.72 99  000000.00 190322.0 
 1  2  55565.09 -0008.27 99  000000.00 190334.0 
 1  1  55573.84 -0006.02 99  000000.00 190346.0 
 1  0  55578.13 -0015.60 99  000000.00 190358.0 
 2  0  55582.48 -0008.09 99  000000.00 190426.0 
 2  1  55583.54 -0006.58 99  000000.00 190446.0 
 2  2  55575.76 -0008.49 99  000000.00 190458.0 
 2  3  55574.29 -0015.65 99  000000.00 190510.0 
 2  4  55576.53 -0014.28 99  000000.00 190522.0 
 2  5  55577.56 -0013.79 99  000000.00 190534.0 
 2  6  55576.34 -0014.30 99  000000.00 190546.0 
 2  7  55580.69 -0010.91 99  000000.00 190558.0 
 2  8  55581.01 -0009.51 99  000000.00 190610.0 
 2  9  55575.94 -0017.21 99  000000.00 190622.0 
 2  10  55589.52 -0002.10 99  000000.00 190634.0 
 2  11  55583.21 -0008.15 99  000000.00 190646.0 
 2  12  55575.76 -0012.43 99  000000.00 190658.0 
 2  13  55571.21 -0014.37 99  000000.00 190710.0 
 2  14  55567.27 -0001.43 99  000000.00 190722.0 
 3  14  55570.87 -0002.57 99  000000.00 190814.0 
 3  13  55561.31 -0015.38 99  000000.00 190834.0 
 3  12  55560.10 -0011.33 99  000000.00 190846.0 
 3  11  55579.42  0004.85 99  000000.00 190858.0 
 3  10  55584.70  0002.78 99  000000.00 190914.0 
 3  9  55582.70  0007.49 99  000000.00 190926.0 
 3  8  55579.45  0011.89 99  000000.00 190938.0 
 3  7  55574.66 -0004.05 99  000000.00 190950.0 
 3  6  55572.13 -0006.29 99  000000.00 191002.0 
 3  5  55570.99 -0001.63 99  000000.00 191014.0 
 3  4  55574.05 -0001.27 99  000000.00 191026.0 
 3  3  55572.35 -0003.08 99  000000.00 191038.0 
 3  2  55572.78 -0000.90 99  000000.00 191050.0 
 3  1  55574.46 -0012.63 99  000000.00 191106.0 
 3  0  55579.18 -0006.62 99  000000.00 191118.0 
 4  0  55587.27 -0005.27 99  000000.00 191202.0 
 4  1  55580.74 -0001.51 99  000000.00 191218.0 
 4  2  55577.48 -0010.31 99  000000.00 191230.0 
 4  3  55575.43 -0018.05 99  000000.00 191238.0 
 4  4  55580.94 -0010.36 99  000000.00 191250.0 
 4  5  55584.86 -0011.59 99  000000.00 191302.0 
 4  6  55571.97 -0022.43 99  000000.00 191314.0 
 4  7  55577.09  0008.27 99  000000.00 191342.0 
 4  8  55588.90 -0000.21 99  000000.00 191358.0 
 4  9  55589.08  0001.56 99  000000.00 191422.0 
 4  10  55593.13  0004.20 99  000000.00 191442.0 
 4  11  55589.57  0000.61 99  000000.00 191454.0 
 4  12  55579.69 -0008.10 99  000000.00 191506.0 
 4  13  55573.91 -0004.92 99  000000.00 191518.0 
 4  14  55571.60 -0000.65 99  000000.00 191530.0 
 5  14  55560.01 -0034.22 99  000000.00 191626.0 
 5  13  55575.28 -0022.08 99  000000.00 191638.0 
 5  12  55586.08 -0012.21 99  000000.00 191650.0 
 5  11  55589.22 -0008.35 99  000000.00 191702.0 
 5  10  55585.66 -0015.05 99  000000.00 191714.0 
 5  9  55582.97 -0019.20 99  000000.00 191726.0 
 5  8  55582.91 -0015.92 99  000000.00 191738.0 
 5  7  55574.78 -0025.20 99  000000.00 191754.0 
 5  6  55572.93 -0025.98 99  000000.00 191810.0 
 5  5  55575.42 -0022.60 99  000000.00 191822.0 
 5  4  55573.95 -0024.75 99  000000.00 191834.0 
 5  3  55573.23 -0025.09 99  000000.00 191846.0 
 5  2  55572.72 -0026.94 99  000000.00 191858.0 
 5  1  55578.56 -0022.44 99  000000.00 191910.0 
 5  0  55587.45 -0012.25 99  000000.00 191922.0 
 6  0  55591.44 -0004.21 99  000000.00 191946.0 
 6  1  55587.32 -0006.26 99  000000.00 192002.0 
 6  2  55582.69 -0003.20 99  000000.00 192014.0 
 6  3  55582.71 -0005.10 99  000000.00 192026.0 
 6  4  55584.45  0003.23 99  000000.00 192038.0 
 6  5  55586.50  0003.98 99  000000.00 192050.0 
 6  6  55585.35  0002.16 99  000000.00 192102.0 
 6  7  55578.73 -0006.64 99  000000.00 192114.0 
 6  8  55592.16  0014.86 99  000000.00 192126.0 
 6  9  55597.48  0024.17 99  000000.00 192138.0 
 6  10  55597.85  0011.66 99  000000.00 192150.0 
 6  11  55594.03  0013.22 99  000000.00 192202.0 
 6  12  55587.57  0011.90 99  000000.00 192214.0 
 6  13  55584.47 -0009.20 99  000000.00 192226.0 
 6  14  55586.00 -0011.66 99  000000.00 192238.0 
 7  14  55573.20 -0027.47 99  000000.00 192330.0 
 7  13  55569.58 -0034.08 99  000000.00 192346.0 
 7  12  55580.89 -0021.88 99  000000.00 192358.0 
 7  11  55586.33 -0017.19 99  000000.00 192410.0 
 7  10  55582.23 -0024.21 99  000000.00 192422.0 
 7  9  55594.22 -0008.93 99  000000.00 192438.0 
 7  8  55587.37 -0016.21 99  000000.00 192450.0 
 7  7  55582.91 -0020.88 99  000000.00 192502.0 
 7  6  55581.97 -0023.52 99  000000.00 192518.0 
 7  5  55578.68 -0026.21 99  000000.00 192542.0 
 7  4  55582.50 -0019.29 99  000000.00 192558.0 
 7  3  55584.34 -0012.03 99  000000.00 192610.0 
 7  2  55584.35 -0017.38 99  000000.00 192622.0 
 7  1  55585.41 -0017.73 99  000000.00 192634.0 
 7  0  55588.94 -0004.94 99  000000.00 192646.0 
 8  0  55589.51 -0006.34 99  000000.00 192726.0 
 8  1  55583.88 -0004.30 99  000000.00 192742.0 
 8  2  55590.80 -0004.90 99  000000.00 192754.0 
 8  3  55596.35 -0004.01 99  000000.00 192806.0 
 8  4  55594.05 -0007.71 99  000000.00 192818.0 
 8  5  55595.88 -0003.86 99  000000.00 192830.0 
 8  6  55596.42 -0004.77 99  000000.00 192842.0 
 8  7  55596.79 -0008.50 99  000000.00 192858.0 
 8  8  55597.88 -0006.81 99  000000.00 192914.0 
 8  9  55596.90 -0003.55 99  000000.00 192926.0 
 8  10  55591.97 -0008.03 99  000000.00 192950.0 
 8  11  55593.91 -0006.19 99  000000.00 193002.0 
 8  12  55588.81 -0009.77 99  000000.00 193014.0 
 8  13  55584.72 -0000.85 99  000000.00 193026.0 
 8  14  55585.51 -0001.44 99  000000.00 193038.0 
 9  14  55589.62 -0012.86 99  000000.00 193114.0 
 9  13  55581.62 -0024.75 99  000000.00 193134.0 
 9  12  55588.13 -0012.18 99  000000.00 193150.0 
 9  11  55595.69  0000.19 99  000000.00 193202.0 
 9  10  55597.15 -0000.65 99  000000.00 193214.0 
 9  9  55598.67  0001.09 99  000000.00 193226.0 
 9  8  55597.89  0002.61 99  000000.00 193238.0 
 9  7  55602.56  0003.65 99  000000.00 193250.0 
 9  6  55599.90  0001.98 99  000000.00 193302.0 
 9  5  55597.84  0000.82 99  000000.00 193314.0 
 9  4  55595.04  0004.68 99  000000.00 193326.0 
 9  3  55599.33  0001.60 99  000000.00 193338.0 
 9  2  55594.27 -0000.59 99  000000.00 193350.0 
 9  1  55594.02 -0000.37 99  000000.00 193402.0 
 9  0  55590.40 -0003.98 99  000000.00 193414.0 
 10  0  55595.52 -0003.68 99  000000.00 193450.0 
 10  1  55586.17 -0014.06 99  000000.00 193510.0 
 10  2  55592.18 -0008.08 99  000000.00 193522.0 
 10  3  55599.09 -0006.37 99  000000.00 193534.0 
 10  4  55600.74 -0009.09 99  000000.00 193550.0 
 10  5  55603.31 -0006.17 99  000000.00 193602.0 
 10  6  55605.32 -0000.55 99  000000.00 193614.0 
 10  7  55602.31 -0003.80 99  000000.00 193626.0 
 10  8  55605.61 -0000.44 99  000000.00 193638.0 
 10  9  55603.92 -0001.74 99  000000.00 193650.0 
 10  10  55601.57 -0003.07 99  000000.00 193702.0 
 10  11  55600.07 -0002.42 99  000000.00 193722.0 
 10  12  55597.18 -0009.68 99  000000.00 193742.0 
 10  13  55590.22 -0013.62 99  000000.00 193758.0 
 10  14  55585.98 -0022.78 99  000000.00 193810.0 
